Location,First Submitted Date,Last Submitted Date,D.O.S.,Claim Aging Days,Insurance Aging Days,Claim ID,Patient Name,Patient ID,D.O.B,Subscriber,Subscriber ID/SSN,Service Type,Billed Amt.,Ins. Amt,Ins. Paid,Paid Date,Outst. Amt.,Claim Status,Claim Flag,Mode,Claim Order,Provider,Provider TIN/NPI,Carrier,Carrier ID,Phone Number,Group Number,Plan Name,Plan Type,Remarks,Last Updated On,Last Updated By
"COLUMBIA",4/24/2020,4/24/2020,4/24/2020,"Over 120","Over 120",5,"Hall, Dan","1010","01/01/1995","Hall, Dan","564654151","Regular","$1,093.00","$786.60","$700.00",4/24/2020,"$86.60","Reopened","","Paper Based","Primary Dental","AKLINE","1922529908","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - .,,l,ll
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,5/8/2020,"In 30","Over 120",6,"CareStack, Child 4","1005","04/10/2012","CareStack, Dad","12323213","Regular","$175.00","$112.00","$0.00",,"$112.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - e2qweqewq
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,7/2/2020,"In 30","Over 120",7,"Hall, Dan","1010","01/01/1995","Hall, Dan","564654151","Regular","$235.00","$188.00","$0.00",,"$188.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,7/23/2020,"In 30","Over 120",10,"Patient, Test","1051","07/20/1994","Patient, Test","123456","Regular","$1,497.00","$0.00","$0.00",,"$0.00","Saved With Errors","","Paper Based","Primary Dental","BSMILE","7777777777","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"HWD",,,8/1/2020,"In 30","Over 120",11,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved","Insurance Termed","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - Test,test,Need to call patient
Notes - ",4/24/2025,"Symbolik, Stephanie"
"COLUMBIA",10/26/2023,10/26/2023,9/4/2020,"Over 120","Over 120",12,"Bultez, Eric","1061","04/01/1980","Bultez, Eric","1234656789","Regular","$1,113.00","$0.00","$0.00",,"$0.00","Submitted (Payor)","","Paper Based","Primary Dental","AKLINE","1922529908","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - ??
Notes - ",10/26/2023,"Wilson, James"
"COLUMBIA",,,9/1/2020,"In 30","Over 120",13,"Jonas, Joe","1060","08/17/1972","Jonas, Joe","7928378329","Regular","$59.00","$47.00","$0.00",,"$47.00","Saved With Errors","","Paper Based","Primary Dental","JSMITH","3333333333","Aetna (Multiple Address Example)","","(800) 451-7715","123098","Aetna Plan A","PPO","Claim Remarks - 
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",2/28/2023,2/28/2023,9/29/2020,"Over 120","Over 120",14,"Richardson, Joseph","1066","02/16/1978","Quintero, Adrian","123456789","Regular","$187.00","$0.00","$0.00",,"$0.00","Submitted (Payor)","","Paper Based","Primary Dental","AKLINE","1922529908","Delta Dental of California","","","12345","Delta Dental of California","PPO","Claim Remarks - 
Notes - ",2/28/2023,"Eastside, Mina"
"HWD",,,11/1/2020,"In 30","Over 120",15,"Compton, Jasmine","1041","04/04/2000","Compton, Jasmine","1234567","Ortho","$0.00","$60.00","$0.00",,"$60.00","Saved","","Paper Based","Primary Dental","BSMILE","7777777777","Metlife","","(877) 638-3379","554433","Metlife HMO Plan","HMO","Claim Remarks - 333
Notes - ",12/15/2021,"NOC Team, CareStack"
"COLUMBIA",,,1/29/2021,"In 30","Over 120",16,"Hall, Dan","1010","01/01/1995","Hall, Dan","564654151","Regular","$185.00","$120.00","$0.00",,"$120.00","Saved","","Paper Based","Primary Dental","KULLER","1234567890","Cigna","","(800) 244-6224","123232","Private Insurance","Indemnity","Claim Remarks - fgjfgh
Notes - ",8/5/2022,"NOC Team, CareStack"
